strain_name,strain_number,experiment_id,spectrum,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700
,,,DIL1A(BGRD),0.00353221,0.00367794,0.00367505,0.00343365,0.00333867,0.00317327,0.00297815,0.00292431,0.00261978,0.00246875,0.00233779,0.00224656,0.00218241,0.0020905,0.00209292,0.00195287,0.0018741,0.0018821,0.00175243,0.00172224,0.00173512,0.00162575,0.00154535,0.00155551,0.00150156,0.00145392,0.00139338,0.00135965,0.00128526,0.00127388,0.00122761,0.00123296,0.00113557,0.00109151,0.00106438,0.000980657,0.000940551,0.000922827,0.000894964,0.000876498,0.000828965,0.000825456,0.000800815,0.000779384,0.000766161,0.000736874,0.000726407,0.000727365,0.00068866,0.000688076,0.000679533,0.000659989,0.000510071,0.000598107,0.000548559
,,,DIL1B,0.00769566,0.0077425,0.00786286,0.00755303,0.00777568,0.00750699,0.00722343,0.00721171,0.00709651,0.00691511,0.0066068,0.00622095,0.00605814,0.00599111,0.00600386,0.00572801,0.0056567,0.00556769,0.00547283,0.00540183,0.00533668,0.00529818,0.00514365,0.00510086,0.00510069,0.00512544,0.00497547,0.00483904,0.00474783,0.0045947,0.00463625,0.00459605,0.00442747,0.00424374,0.00417056,0.00406667,0.00390935,0.0038061,0.00381075,0.00370998,0.0036314,0.00353569,0.00349239,0.00344689,0.00325732,0.00322577,0.00317561,0.00307494,0.00330331,0.00375079,0.00385591,0.00384954,0.00350184,0.00347333,0.0033111
,,,DIL1B(BGRD),0.00350384,0.00361463,0.00365391,0.0034388,0.00334327,0.00318141,0.00301048,0.00292443,0.00271527,0.00245673,0.00238784,0.0022178,0.00217871,0.0021013,0.00208697,0.00196971,0.00189192,0.00185405,0.00178344,0.00174153,0.00172908,0.00164202,0.00154856,0.00155156,0.00147476,0.00146085,0.00139662,0.00135604,0.00129754,0.00126505,0.00124793,0.00125297,0.00115844,0.00110778,0.00109031,0.000978395,0.000955024,0.000924101,0.000941066,0.00092304,0.000841745,0.000814637,0.000808899,0.000790201,0.000767906,0.000752068,0.000730069,0.000704958,0.000674185,0.000695249,0.000678738,0.000623228,0.00053259,0.000540813,0.000547126
C. muelleri,CCMP1316,0522_CMUL,MILQ,0.00327535,0.00339075,0.0034307,0.00316845,0.00316724,0.00302153,0.0028758,0.00286781,0.0026028,0.00246263,0.00232955,0.00227472,0.00224595,0.00213371,0.00215137,0.00206108,0.00198051,0.00201363,0.0019108,0.00192198,0.00190535,0.00182571,0.0017155,0.00176533,0.0017012,0.00169303,0.00164045,0.00160634,0.00155886,0.00153421,0.00150646,0.00155661,0.001434,0.00139315,0.00138116,0.00126283,0.00127339,0.00124434,0.00123356,0.00126318,0.00115796,0.00114785,0.00112843,0.0011325,0.0010969,0.00110941,0.00104731,0.00104259,0.00103515,0.00107718,0.00105172,0.00101016,0.000887804,0.000973198,0.000956103
,,,MILQ(FILT),0.00282997,0.00293017,0.00288631,0.00272225,0.00264643,0.0025126,0.00233348,0.00237441,0.00208383,0.00190191,0.00190531,0.00176714,0.00173879,0.00173502,0.00164718,0.00156527,0.00148388,0.00148066,0.001416,0.00140483,0.00137632,0.00129141,0.00124562,0.00123806,0.00117184,0.00117643,0.00111733,0.00109516,0.0010781,0.0010245,0.00101869,0.00100931,0.000948205,0.000878189,0.000834,0.000759729,0.000777134,0.000762492,0.000726916,0.000750456,0.000682227,0.000668428,0.000659192,0.000636369,0.000614846,0.000634049,0.000578232,0.000562745,0.000558818,0.000562505,0.000540232,0.000519953,0.00046484,0.000450299,0.000457711
,,,DIL1A,0.00585975,0.00596774,0.00589691,0.00573827,0.00583039,0.00556972,0.00539282,0.00536165,0.00535157,0.00506749,0.00490466,0.004664,0.00453396,0.00455264,0.00454378,0.00438694,0.00441223,0.00438139,0.00434381,0.00426128,0.00431138,0.00421964,0.00410382,0.00408274,0.00409711,0.0041005,0.00400581,0.00393797,0.00390371,0.00381686,0.00382911,0.00381714,0.00362608,0.00354268,0.00349731,0.00331275,0.00322289,0.00310062,0.00312419,0.00300249,0.00294775,0.00285278,0.00281128,0.00276381,0.00264166,0.00261569,0.0025996,0.00259203,0.00268459,0.00300073,0.00304382,0.00304654,0.00281492,0.00276646,0.00268269
,,,DIL1A(BGRD),0.00358408,0.00369971,0.00367851,0.00345297,0.00335856,0.00319807,0.00301787,0.00296679,0.00270617,0.00250289,0.00238669,0.00225547,0.00219037,0.00212019,0.00207081,0.00197368,0.00188117,0.0018614,0.001752,0.0017526,0.00174796,0.00164663,0.0015643,0.00155348,0.00149705,0.00144607,0.00138634,0.00134696,0.0013079,0.00127416,0.00124159,0.00125579,0.00116037,0.00110852,0.00107489,0.000982416,0.000937753,0.000906704,0.000900396,0.000919187,0.000839984,0.000825512,0.000805478,0.000775658,0.000769884,0.000756084,0.0007206,0.000715887,0.000682333,0.000688009,0.000691195,0.000629759,0.000517496,0.000580049,0.000579457
,,,DIL1B,0.00616995,0.00620919,0.00624114,0.0059516,0.00610466,0.00590384,0.00564754,0.00558365,0.00545786,0.00537856,0.00520618,0.00489798,0.00481216,0.00480591,0.00477846,0.00469473,0.0046032,0.00463816,0.00454581,0.00453506,0.00456291,0.00443457,0.00436053,0.00429649,0.00430846,0.00427888,0.00421907,0.00407644,0.00409051,0.00399254,0.00403499,0.00396592,0.00376777,0.00367929,0.00366287,0.00349811,0.00335182,0.00330372,0.00325664,0.00321232,0.00312437,0.00306274,0.00303713,0.00298933,0.00286071,0.00286401,0.00282377,0.00274853,0.00284826,0.00321984,0.00325917,0.0032225,0.00298647,0.00300346,0.00286347
,,,DIL1B(BGRD),0.00357289,0.00365717,0.00366021,0.00343443,0.0033685,0.00319497,0.00301089,0.00287554,0.00264919,0.00251134,0.00234482,0.00224431,0.00218254,0.00212938,0.00207315,0.00197412,0.00190456,0.0018538,0.00178257,0.00175966,0.00174188,0.0016438,0.00153194,0.00156579,0.00151456,0.00144664,0.00139319,0.00135375,0.00131962,0.00127783,0.00124838,0.00123917,0.00116192,0.00111595,0.00107497,0.000976139,0.000940549,0.000948405,0.000920623,0.000933342,0.000837088,0.000814793,0.00080711,0.000806178,0.000779281,0.000741999,0.000729389,0.000711385,0.000695283,0.000698459,0.000656196,0.000641858,0.0005571,0.000576372,0.000567799
T. oceanica,CCMP1005,0523_TOCN,MILQ,0.00340607,0.00352605,0.00358646,0.00339312,0.00350159,0.00321732,0.00310918,0.0030777,0.00275531,0.00263654,0.00263385,0.00246092,0.00239229,0.00238882,0.00234412,0.00222319,0.00226917,0.00217976,0.0021341,0.00208438,0.00212491,0.00197915,0.00192646,0.00194872,0.00194247,0.00185596,0.00178149,0.00175961,0.00181145,0.00168479,0.00170933,0.00174367,0.00158314,0.00158879,0.00155151,0.00145083,0.00148601,0.00140676,0.00144492,0.00141066,0.0013569,0.00133007,0.00132357,0.00131809,0.00124483,0.00128531,0.00127907,0.00125072,0.00119691,0.00120187,0.00122894,0.00114941,0.00108758,0.00111784,0.00110856
